1,Intercept,100.7528381,0.7424250841,-0.004548332654,38.13788986,29.14225006,-0.2010518759,933.8529053,1777.750122,987.9714966,-717.8033447,-0.3315126896,0,1928.674805,1221.199951,137369.2812,26.75780106,39.84707642,1167.803711,-357.1609497,833.1000977,1777.00769,-949.7014771,746.7718506,18.73367691,11.51942348,1952.703979,397.0080261,1208.139526,1780.778442,Intercept
2,Intercept,101.7538986,1.742715597,-0.01074294373,75.7989502,58.90035629,-0.3983985782,950.6646729,1765.535645,987.7069092,-717.611084,-0.3292329311,0,1926.174194,1220.872925,122523.8125,53.54333496,79.67336273,1166.673828,-359.7259216,848.9107666,1763.792969,-911.2796021,775.6937256,18.24813271,22.82655716,1945.845215,439.399292,1196.716919,1772.810791,Intercept
3,Intercept,103.393364,3.212697268,-0.01738682389,113.23246,88.94737244,-0.3825329244,967.4258423,1753.358032,987.1891479,-717.2350464,-0.3281293511,0,1923.212402,1220.23291,108836.8281,80.61234283,119.3099976,1165.664795,-360.8241577,864.0324707,1750.145386,-872.4273682,804.2003174,17.80423546,21.91752243,1938.68457,480.1341553,1186.536011,1764.902832,Intercept
4,Intercept,105.9342804,5.329692364,-0.02522834204,150.4960175,119.2066498,-0.3866261244,981.7180176,1742.974121,973.1647339,-707.0457764,-0.3270841241,0,1920.887817,1202.897949,98251.76562,108.2523041,158.5582428,1148.732544,-356.8991089,875.7837524,1737.644409,-819.7095337,822.4181519,17.29506111,22.1520443,1931.476074,515.4573364,1161.161255,1759.183716,Intercept
5,Intercept,108.8577118,7.719944,-0.03181383014,187.213501,150.1399994,-0.3818241656,992.7460938,1734.96167,944.5651245,-686.2670288,-0.3295069933,0,1917.125122,1167.546875,90311.1875,134.9406281,198.4488373,1115.809326,-343.7080994,883.8883667,1727.241699,-752.6706543,830.3760986,17.05656242,21.87691307,1925.372437,542.1569214,1120.730835,1754.482788,Intercept
6,Intercept,112.386879,10.32900143,-0.03790627792,223.0447235,182.1239624,-0.3888716102,1003.287842,1727.302612,917.6835938,-666.7365112,-0.3354177475,0,1913.123169,1134.319458,83284.75,159.8579559,239.5068054,1086.009155,-327.5130615,890.9009399,1716.973633,-687.8970947,840.2768555,17.04615021,22.28070259,1919.508667,567.0198975,1085.940918,1749.50293,Intercept
7,Intercept,117.0296249,13.47337437,-0.04589820281,257.9924316,215.1035461,-0.3885033727,1013.749878,1719.701538,893.960144,-649.5004883,-0.3406456113,0,1906.121704,1104.995728,77026.26562,184.3794708,280.7736511,1059.587769,-313.5113831,896.7202759,1706.228149,-626.3699951,852.5402832,16.88778305,22.2596035,1912.692139,594.2850342,1057.90564,1745.574707,Intercept
8,Intercept,121.1962738,17.16545105,-0.05168622732,292.0314331,249.0565948,-0.3888376057,1024.461548,1711.918945,874.1890259,-635.1359253,-0.3449704647,0,1902.670288,1080.557373,70396.58594,207.5598755,322.8474121,1037.469727,-302.0936279,903.2652588,1694.75354,-569.680542,868.772644,16.80394936,22.27875328,1905.42749,624.94104,1038.894531,1739.155762,Intercept
9,Intercept,126.1857147,21.44893646,-0.05805487186,325.3439636,283.7534485,-0.3901053071,1035.641357,1703.796509,858.5706177,-623.7885132,-0.3482814431,0,1894.947998,1061.251953,64051.89844,230.5362244,364.9900513,1019.910889,-293.321106,909.4556274,1682.347534,-517.310791,888.1867065,16.62875748,22.35138702,1897.087402,658.3111572,1027.855103,1732.28186,Intercept
10,Intercept,131.7787018,26.20088196,-0.06453668326,358.0009155,319.0974426,-0.3886835575,1047.400146,1695.253296,846.8793945,-615.2943726,-0.3506413698,0,1889.983887,1046.800781,57930.28906,253.3934937,407.1603699,1006.702759,-286.9520264,915.62146,1669.052368,-469.0445557,910.6394043,16.39259148,22.26992798,1887.858276,694.1124268,1024.33728,1724.62793,Intercept
