time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 10.210929, ACC
0.100000, 0.051055, 1.021093, 9.365003, ACC
0.200000, 0.199989, 1.957593, 8.491983, ACC
0.300000, 0.438208, 2.806791, -0.284431, CON
0.400000, 0.717465, 2.778348, 0.646509, CON
0.500000, 0.998533, 2.842999, 0.613448, CON
0.600000, 1.285900, 2.904344, 0.020929, CON
0.700000, 1.576439, 2.906437, -0.079668, CON
0.800000, 1.866684, 2.898470, -1.116904, CON
0.900000, 2.150947, 2.786780, -1.170650, CON
1.000000, 2.423771, 2.669715, 0.588912, CON
1.100000, 2.693687, 2.728606, 0.780779, CON
1.200000, 2.970452, 2.806684, -0.387948, CON
1.300000, 3.249181, 2.767889, -0.781390, CON
1.400000, 3.522062, 2.689750, 0.925075, CON
1.500000, 3.795663, 2.782258, 0.284037, CON
1.600000, 4.075309, 2.810661, 1.204659, CON
1.700000, 4.362398, 2.931127, -0.487892, CON
1.800000, 4.653071, 2.882338, -0.537871, CON
1.900000, 4.938616, 2.828551, 0.182034, CON
2.000000, 5.222381, 2.846754, -1.717739, CON
2.100000, 5.498468, 2.674980, 0.935586, CON
2.200000, 5.770644, 2.768539, -0.662543, CON
2.300000, 6.044185, 2.702285, -0.484174, CON
2.400000, 6.311993, 2.653867, -0.371387, CON
2.500000, 6.575522, 2.616729, 0.186348, CON
2.600000, 6.838127, 2.635363, -0.573886, CON
2.700000, 7.098794, 2.577975, -0.687683, CON
2.800000, 7.353153, 2.509207, -0.551730, CON
2.900000, 7.601315, 2.454034, -1.089409, CON
3.000000, 7.841271, 2.345093, 0.550392, CON
3.100000, 8.078533, 2.400132, 0.208116, CON
3.200000, 8.319586, 2.420943, 0.616011, CON
3.300000, 8.564761, 2.482544, 1.165867, CON
3.400000, 8.818845, 2.599131, -0.569921, CON
3.500000, 9.075908, 2.542139, -0.748369, CON
3.600000, 9.326380, 2.467302, -0.015173, CON
3.700000, 9.573035, 2.465785, -0.443451, CON
3.800000, 9.817396, 2.421440, -0.252440, CON
3.900000, 10.058278, 2.396196, 0.302513, CON
4.000000, 10.299410, 2.426447, 0.632941, CON
4.100000, 10.545219, 2.489741, -0.545915, CON
4.200000, 10.791464, 2.435150, -1.323829, CON
4.300000, 11.028359, 2.302767, 0.182586, CON
4.400000, 11.259549, 2.321025, -0.313227, CON
4.500000, 11.490086, 2.289703, 0.559121, CON
4.600000, 11.721851, 2.345615, 1.345882, CON
4.700000, 11.963142, 2.480203, -1.032466, CON
4.800000, 12.206000, 2.376956, -1.903334, CON
4.900000, 12.434179, 2.186623, 0.903424, CON
5.000000, 12.657359, 2.276966, -0.996959, CON
5.100000, 12.880070, 2.177270, -1.171955, CON
5.200000, 13.091938, 2.060074, 0.516871, CON
5.300000, 13.300529, 2.111761, 0.193501, CON
5.400000, 13.512673, 2.131111, -0.646773, CON
5.500000, 13.722550, 2.066434, 0.991338, CON
5.600000, 13.934150, 2.165568, -2.419798, DEC
5.700000, 14.138608, 1.923588, -2.168649, DEC
5.800000, 14.320124, 1.706723, -1.927006, DEC
5.900000, 14.481161, 1.514023, -3.402319, DEC
6.000000, 14.615552, 1.173791, 11.227386, ACC
6.100000, 14.789068, 2.296529, -1.143154, DEC
6.200000, 15.013005, 2.182214, -2.469712, DEC
6.300000, 15.218878, 1.935243, -2.441635, DEC
6.400000, 15.400194, 1.691079, -2.165097, DEC
6.500000, 15.558476, 1.474569, -1.310114, DEC
6.600000, 15.699383, 1.343558, -1.445290, DEC
6.700000, 15.826512, 1.199029, -2.559789, DEC
6.800000, 15.933616, 0.943050, -1.726447, DEC
6.900000, 16.019289, 0.770405, -0.749421, DEC
7.000000, 16.092582, 0.695463, -1.196276, DEC
7.100000, 16.156147, 0.575836, -0.771411, DEC
7.200000, 16.209874, 0.498695, -3.315745, DEC
7.300000, 16.243164, 0.167120, -1.972377, DEC
7.400000, 16.251520, 0.000000, -2.332248, DEC
