time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 3.244069, ACC
0.100000, 0.016220, 0.324407, 3.980495, ACC
0.200000, 0.068564, 0.722456, 3.824890, ACC
0.300000, 0.159934, 1.104945, 0.859634, ACC
0.400000, 0.274726, 1.190909, 0.946814, ACC
0.500000, 0.398551, 1.285590, 2.812823, ACC
0.600000, 0.541174, 1.566873, 2.457691, ACC
0.700000, 0.710150, 1.812642, 3.039918, ACC
0.800000, 0.906614, 2.116634, 1.118130, ACC
0.900000, 1.123868, 2.228447, 3.225881, ACC
1.000000, 1.362842, 2.551035, 2.089535, ACC
1.100000, 1.628393, 2.759988, 2.452643, ACC
1.200000, 1.916655, 3.005252, 2.049849, ACC
1.300000, 2.227430, 3.210237, 1.561570, ACC
1.400000, 2.556261, 3.366394, 1.977772, ACC
1.500000, 2.902790, 3.564172, 0.136393, ACC
1.600000, 3.259889, 3.577811, 1.565536, ACC
1.700000, 3.625497, 3.734365, 3.542199, ACC
1.800000, 4.016645, 4.088584, 1.984302, ACC
1.900000, 4.435425, 4.287015, 1.835732, ACC
2.000000, 4.873305, 4.470588, 3.889401, ACC
2.100000, 5.339811, 4.859528, 1.335121, ACC
2.200000, 5.832439, 4.993040, -0.170694, ACC
2.300000, 6.330890, 4.975971, 3.219232, ACC
2.400000, 6.844583, 5.297894, 0.112328, ACC
2.500000, 7.374934, 5.309127, 1.960033, ACC
2.600000, 7.915647, 5.505130, 1.606752, ACC
2.700000, 8.474193, 5.665805, 2.861074, ACC
2.800000, 9.055079, 5.951912, 2.604410, ACC
2.900000, 9.663293, 6.212353, 2.446097, ACC
3.000000, 10.296758, 6.456963, 2.280572, ACC
3.100000, 10.953858, 6.685020, 0.471741, ACC
3.200000, 11.624718, 6.732194, 1.990477, ACC
3.300000, 12.307890, 6.931242, 2.778026, ACC
3.400000, 13.014904, 7.209045, 3.300155, ACC
3.500000, 13.752310, 7.539060, 1.301014, ACC
3.600000, 14.512721, 7.669162, 1.407444, ACC
3.700000, 15.286674, 7.809906, 3.879807, ACC
3.800000, 16.087064, 8.197887, 3.727842, ACC
3.900000, 16.925492, 8.570671, 2.412944, ACC
4.000000, 17.794623, 8.811965, 2.987090, ACC
4.100000, 18.690755, 9.110674, 2.692034, ACC
4.200000, 19.615283, 9.379878, 2.357368, ACC
