time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 4.020486, ACC
0.100000, 0.020102, 0.402049, 1.911942, ACC
0.200000, 0.069867, 0.593243, 0.704428, ACC
0.300000, 0.132713, 0.663686, 2.755189, ACC
0.400000, 0.212858, 0.939205, 1.641514, ACC
0.500000, 0.314986, 1.103356, 1.309741, ACC
0.600000, 0.431870, 1.234330, 0.503979, ACC
0.700000, 0.557823, 1.284728, 1.168421, ACC
0.800000, 0.692138, 1.401570, 2.120159, ACC
0.900000, 0.842896, 1.613586, 3.162153, ACC
1.000000, 1.020065, 1.929801, 1.327162, ACC
1.100000, 1.219681, 2.062518, 0.893795, ACC
1.200000, 1.430402, 2.151897, 1.855575, ACC
1.300000, 1.654869, 2.337455, 0.581680, ACC
1.400000, 1.891523, 2.395623, 0.231315, ACC
1.500000, 2.132242, 2.418754, 2.826201, ACC
1.600000, 2.388249, 2.701374, 0.579100, ACC
1.700000, 2.661281, 2.759284, 1.462222, ACC
1.800000, 2.944521, 2.905506, 1.274417, ACC
1.900000, 3.241444, 3.032948, 0.447284, ACC
2.000000, 3.546975, 3.077676, 1.959212, ACC
2.100000, 3.864539, 3.273598, -0.090264, ACC
2.200000, 4.191447, 3.264571, 1.107961, ACC
2.300000, 4.523444, 3.375367, 1.145053, ACC
2.400000, 4.866706, 3.489873, 0.663552, ACC
2.500000, 5.219011, 3.556228, 1.708910, ACC
2.600000, 5.583178, 3.727119, 2.136062, ACC
2.700000, 5.966571, 3.940725, 1.260989, ACC
2.800000, 6.366948, 4.066824, 1.881094, ACC
2.900000, 6.783036, 4.254934, 2.817970, ACC
3.000000, 7.222619, 4.536731, 1.572243, ACC
3.100000, 7.684153, 4.693955, 2.870268, ACC
3.200000, 8.167900, 4.980982, 0.358382, ACC
3.300000, 8.667790, 5.016820, 3.056190, ACC
3.400000, 9.184753, 5.322439, 1.763661, ACC
3.500000, 9.725815, 5.498805, 0.148805, ACC
3.600000, 10.276440, 5.513685, 0.450722, ACC
3.700000, 10.830062, 5.558758, 2.397015, ACC
3.800000, 11.397923, 5.798459, 0.577935, ACC
3.900000, 11.980658, 5.856252, 0.767548, ACC
4.000000, 12.570121, 5.933007, -0.408056, ACC
4.100000, 13.161382, 5.892202, 1.577337, ACC
4.200000, 13.758489, 6.049935, 2.044505, ACC
4.300000, 14.373705, 6.254386, 2.435784, ACC
4.400000, 15.011322, 6.497964, 0.917077, ACC
4.500000, 15.665704, 6.589672, 1.026231, ACC
4.600000, 16.329802, 6.692295, 0.996835, ACC
4.700000, 17.004016, 6.791979, 1.739746, ACC
4.800000, 17.691913, 6.965953, 1.155746, ACC
4.900000, 18.394287, 7.081528, 1.017259, ACC
5.000000, 19.107526, 7.183254, 1.140615, ACC
5.100000, 19.831554, 7.297315, 2.478500, ACC
5.200000, 20.573678, 7.545165, 2.129633, ACC
5.300000, 21.338843, 7.758129, 0.507645, ACC
5.400000, 22.117194, 7.808893, 0.824714, ACC
5.500000, 22.902207, 7.891365, 0.934599, ACC
5.600000, 23.696016, 7.984824, 0.538298, ACC
5.700000, 24.497190, 8.038654, 0.972111, ACC
5.800000, 25.305916, 8.135865, 2.038522, ACC
5.900000, 26.129696, 8.339718, 1.676898, ACC
6.000000, 26.972052, 8.507407, 1.196250, ACC
6.100000, 27.828774, 8.627032, 2.975345, ACC
6.200000, 28.706354, 8.924567, 1.128273, ACC
6.300000, 29.604452, 9.037394, 0.639437, ACC
6.400000, 30.511388, 9.101338, 2.882712, ACC
6.500000, 31.435936, 9.389609, 0.679715, ACC
6.600000, 32.378295, 9.457581, 1.982127, ACC
6.700000, 33.333964, 9.655793, 1.859831, ACC
6.800000, 34.308842, 9.841776, 3.326485, ACC
6.900000, 35.309652, 10.174425, 0.563944, ACC
7.000000, 36.329915, 10.230819, 1.004697, ACC
7.100000, 37.358020, 10.331289, 3.789716, ACC
7.200000, 38.410098, 10.710261, 0.740363, ACC
7.300000, 39.484825, 10.784297, 2.367448, ACC
7.400000, 40.575092, 11.021042, 1.634698, ACC
7.500000, 41.685370, 11.184511, 0.660618, ACC
7.600000, 42.807124, 11.250573, 0.715030, ACC
7.700000, 43.935757, 11.322076, 1.067905, ACC
7.800000, 45.073304, 11.428867, 2.456430, ACC
7.900000, 46.228473, 11.674510, 2.332877, ACC
8.000000, 47.407588, 11.907797, 1.679938, ACC
8.100000, 48.606767, 12.075791, 1.089991, ACC
8.200000, 49.819797, 12.184790, 1.468953, ACC
8.300000, 51.045620, 12.331686, 1.061514, ACC
8.400000, 52.284097, 12.437837, 0.127685, ACC
8.500000, 53.528519, 12.450606, 1.089358, ACC
8.600000, 54.779026, 12.559541, 1.102935, ACC
