time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 8000.201044, ACC
0.100000, 40.001005, 800.020104, 8001.221723, ACC
0.200000, 160.009124, 1600.142277, 7999.548569, ACC
0.300000, 360.021095, 2400.097134, 8000.854077, ACC
0.400000, 640.035079, 3200.182541, 7998.940135, ACC
0.500000, 1000.048033, 4000.076555, 7996.763859, ACC
0.600000, 1440.039508, 4799.752941, 7998.361663, ACC
0.700000, 1960.006611, 5599.589107, 7999.483080, ACC
0.800000, 2559.962937, 6399.537415, 7999.500263, ACC
0.900000, 3239.914179, 7199.487441, 8000.537931, ACC
1.000000, 3999.865613, 7999.541234, 8000.459152, ACC
1.100000, 4839.822032, 8799.587150, 8001.276195, ACC
1.200000, 5759.787128, 9599.714769, 8000.213602, ACC
1.300000, 6759.759673, 10399.736129, 7999.313246, ACC
1.400000, 7839.729852, 11199.667454, 7999.689574, ACC
1.500000, 8999.695046, 11999.636411, 8001.000840, ACC
1.600000, 10239.663691, 12799.736495, 7999.692251, ACC
1.700000, 11559.635802, 13599.705720, 8000.275670, ACC
1.800000, 12959.607752, 14399.733287, 8000.131649, ACC
1.900000, 14439.581739, 15199.746452, 7999.779328, ACC
2.000000, 15999.555281, 15999.724385, 8000.718540, ACC
2.100000, 17639.531312, 16799.796239, 7998.988504, ACC
2.200000, 19359.505879, 17599.695090, 7999.349978, ACC
2.300000, 21159.472138, 18399.630087, 7999.730142, ACC
2.400000, 23039.433797, 19199.603102, 7998.903790, ACC
2.500000, 24999.388626, 19999.493481, 7999.240209, ACC
2.600000, 27039.334175, 20799.417501, 8000.083415, ACC
2.700000, 29159.276342, 21599.425843, 7999.422473, ACC
2.800000, 31359.216039, 22399.368090, 7999.665512, ACC
2.900000, 33639.151176, 23199.334641, 7999.101161, ACC
3.000000, 35999.080146, 23999.244758, 8000.951503, ACC
3.100000, 38439.009379, 24799.339908, 7998.225122, ACC
3.200000, 40958.934495, 25599.162420, 8000.309097, ACC
3.300000, 43558.852283, 26399.193330, 8000.889946, ACC
3.400000, 46238.776065, 27199.282324, 8000.455884, ACC
3.500000, 48998.706577, 27999.327913, 8000.165221, ACC
3.600000, 51838.640195, 28799.344435, 7998.752557, ACC
3.700000, 54758.568401, 29599.219691, 7998.225670, ACC
3.800000, 57758.481498, 30399.042258, -0.323671, CON
3.900000, 60798.384106, 30399.009891, -1.145646, CON
4.000000, 63838.279367, 30398.895326, -1.707509, CON
4.100000, 66878.160362, 30398.724575, 0.312675, CON
4.200000, 69918.034383, 30398.755842, 1.252923, CON
4.300000, 72957.916231, 30398.881135, 0.927481, CON
4.400000, 75997.808982, 30398.973883, -0.433776, CON
4.500000, 79037.704202, 30398.930505, -1.308023, CON
