time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 5.023865, ACC
0.100000, 0.025119, 0.502386, 4.493422, ACC
0.200000, 0.097825, 0.951729, 7.148904, ACC
0.300000, 0.228742, 1.666619, 6.002393, ACC
0.400000, 0.425416, 2.266858, 4.923769, ACC
0.500000, 0.676721, 2.759235, 6.556977, ACC
0.600000, 0.985429, 3.414933, 4.871588, ACC
0.700000, 1.351281, 3.902092, 6.923622, ACC
0.800000, 1.776108, 4.594454, 3.982983, ACC
0.900000, 2.255468, 4.992752, 5.958265, ACC
1.000000, 2.784535, 5.588579, 5.247507, ACC
1.100000, 3.369630, 6.113329, 3.214933, ACC
1.200000, 3.997038, 6.434823, 5.523237, ACC
1.300000, 4.668136, 6.987146, 3.579685, ACC
1.400000, 5.384749, 7.345115, 5.316951, ACC
1.500000, 6.145846, 7.876810, 4.786016, ACC
1.600000, 6.957457, 8.355412, 0.534639, CON
1.700000, 7.795671, 8.408875, 0.185820, CON
1.800000, 8.637488, 8.427457, 0.373170, CON
1.900000, 9.482099, 8.464774, -0.694931, CON
2.000000, 10.325102, 8.395281, 1.220459, CON
2.100000, 11.170732, 8.517327, -0.736306, CON
2.200000, 12.018784, 8.443697, 0.792834, CON
2.300000, 12.867117, 8.522980, -1.833495, CON
2.400000, 13.710248, 8.339630, 1.405521, CON
2.500000, 14.551239, 8.480183, -0.037611, CON
2.600000, 15.399069, 8.476421, -0.216166, CON
2.700000, 16.245630, 8.454805, -0.209800, CON
2.800000, 17.090062, 8.433825, -1.205286, CON
2.900000, 17.927418, 8.313296, -1.896769, CON
3.000000, 18.749263, 8.123619, -0.508348, CON
3.100000, 19.559084, 8.072785, 0.174853, CON
3.200000, 20.367236, 8.090270, -1.783784, CON
3.300000, 21.167344, 7.911891, 5.177854, ACC
3.400000, 21.984423, 8.429677, 1.270133, CON
3.500000, 22.833741, 8.556690, 0.353728, CON
3.600000, 23.691179, 8.592063, 0.119519, CON
3.700000, 24.550983, 8.604015, 0.658296, CON
3.800000, 25.414676, 8.669844, -0.167429, CON
3.900000, 26.280823, 8.653102, 0.205360, CON
4.000000, 27.147160, 8.673637, -0.359927, CON
4.100000, 28.012724, 8.637645, 0.184475, CON
4.200000, 28.877411, 8.656092, 1.759337, CON
4.300000, 29.751817, 8.832026, -0.837946, CON
4.400000, 30.630830, 8.748231, 0.570407, CON
4.500000, 31.508505, 8.805272, 0.662920, CON
4.600000, 32.392347, 8.871564, -0.032799, CON
4.700000, 33.279339, 8.868284, 0.961293, CON
4.800000, 34.170974, 8.964413, 1.500286, CON
4.900000, 35.074917, 9.114442, -0.979904, CON
5.000000, 35.981461, 9.016452, -0.042919, CON
5.100000, 36.882892, 9.012160, -0.812306, CON
5.200000, 37.780046, 8.930929, -1.073268, CON
5.300000, 38.667773, 8.823602, 1.413337, CON
5.400000, 39.557200, 8.964936, -0.078730, CON
5.500000, 40.453300, 8.957063, -3.705308, CON
5.600000, 41.330480, 8.586532, -0.166518, CON
5.700000, 42.188300, 8.569880, -0.761074, CON
5.800000, 43.041483, 8.493773, 0.331002, CON
5.900000, 43.892515, 8.526873, -1.328274, CON
6.000000, 44.738561, 8.394046, -1.803774, CON
6.100000, 45.568947, 8.213668, 1.172540, CON
6.200000, 46.396176, 8.330922, -1.078009, CON
6.300000, 47.223879, 8.223121, 0.307346, CON
6.400000, 48.047728, 8.253856, -0.448975, CON
6.500000, 48.870868, 8.208959, 1.140827, CON
6.600000, 49.697468, 8.323041, 2.186689, CON
6.700000, 50.540706, 8.541710, -0.301838, CON
6.800000, 51.393368, 8.511526, -0.551673, CON
6.900000, 52.241762, 8.456359, 1.159077, CON
7.000000, 53.093193, 8.572267, -0.894732, CON
7.100000, 53.945946, 8.482793, -0.417488, CON
7.200000, 54.792138, 8.441045, -1.239689, CON
7.300000, 55.630044, 8.317076, 1.116291, CON
7.400000, 56.467333, 8.428705, 0.736724, CON
7.500000, 57.313887, 8.502377, 0.179003, CON
7.600000, 58.165020, 8.520278, -1.726535, CON
7.700000, 59.008415, 8.347624, 0.121010, CON
7.800000, 59.843783, 8.359725, 0.429306, CON
7.900000, 60.681902, 8.402656, 1.064016, CON
8.000000, 61.527487, 8.509057, -1.201427, CON
8.100000, 62.372386, 8.388915, -0.146472, CON
8.200000, 63.210545, 8.374267, 1.089043, CON
8.300000, 64.053417, 8.483172, 0.612966, CON
8.400000, 64.904799, 8.544468, -0.993965, CON
8.500000, 65.754276, 8.445072, -1.171033, CON
8.600000, 66.592928, 8.327969, -0.938547, CON
8.700000, 67.421032, 8.234114, 0.767191, CON
8.800000, 68.248279, 8.310833, -0.657171, CON
8.900000, 69.076077, 8.245116, -0.195294, CON
9.000000, 69.899612, 8.225586, -1.917755, CON
9.100000, 70.712582, 8.033811, 1.638814, CON
9.200000, 71.524157, 8.197692, -0.940773, CON
9.300000, 72.339222, 8.103615, -1.366557, CON
9.400000, 73.142751, 7.966959, 4.021313, ACC
9.500000, 73.959553, 8.369091, 2.368988, CON
9.600000, 74.808307, 8.605989, 1.029660, CON
9.700000, 75.674055, 8.708955, 0.271225, CON
9.800000, 76.546306, 8.736078, 0.105537, CON
9.900000, 77.420442, 8.746632, -1.396585, CON
10.000000, 78.288122, 8.606973, 0.780661, CON
10.100000, 79.152723, 8.685039, 0.509031, CON
10.200000, 80.023772, 8.735942, 1.226601, CON
10.300000, 80.903499, 8.858603, 1.371200, CON
10.400000, 81.796215, 8.995723, -1.983313, CON
10.500000, 82.685871, 8.797391, 0.391742, CON
10.600000, 83.567569, 8.836565, -1.703422, CON
10.700000, 84.442708, 8.666223, -0.439559, CON
10.800000, 85.307133, 8.622267, 0.435995, CON
10.900000, 86.171539, 8.665867, -2.025857, CON
11.000000, 87.027997, 8.463281, -1.462567, CON
11.100000, 87.867012, 8.317025, 0.559088, CON
11.200000, 88.701510, 8.372933, 0.466130, CON
11.300000, 89.541134, 8.419546, -0.421493, CON
11.400000, 90.380981, 8.377397, 1.507726, CON
11.500000, 91.226260, 8.528170, 1.082540, CON
11.600000, 92.084489, 8.636424, -0.502792, CON
11.700000, 92.945618, 8.586144, 1.947608, CON
11.800000, 93.813970, 8.780905, -0.477283, CON
11.900000, 94.689674, 8.733177, 0.175088, CON
12.000000, 95.563867, 8.750686, -0.817130, CON
12.100000, 96.434850, 8.668973, -0.556841, CON
12.200000, 97.298963, 8.613288, 0.207691, CON
12.300000, 98.161331, 8.634058, 0.876221, CON
12.400000, 99.029117, 8.721680, 0.647941, CON
12.500000, 99.904525, 8.786474, 1.784143, CON
12.600000, 100.792093, 8.964888, -1.377734, CON
12.700000, 101.681693, 8.827115, -0.303993, CON
12.800000, 102.562885, 8.796715, -0.919703, CON
12.900000, 103.437958, 8.704745, -0.818479, CON
13.000000, 104.304340, 8.622897, 0.561505, CON
13.100000, 105.169437, 8.679048, -0.028047, CON
13.200000, 106.037202, 8.676243, 0.669551, CON
13.300000, 106.908174, 8.743198, -0.669825, CON
13.400000, 107.779144, 8.676216, 0.083782, CON
13.500000, 108.647185, 8.684594, 0.525126, CON
13.600000, 109.518270, 8.737106, 0.005460, CON
