time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 2.147533, ACC
0.100000, 0.010738, 0.214753, 1.851818, ACC
0.200000, 0.041472, 0.399935, 1.499905, ACC
0.300000, 0.088965, 0.549926, 1.707220, ACC
0.400000, 0.152494, 0.720647, 2.331905, ACC
0.500000, 0.236218, 0.953838, 2.589437, ACC
0.600000, 0.344549, 1.212782, 0.962006, ACC
0.700000, 0.470637, 1.308982, 0.685543, ACC
0.800000, 0.604963, 1.377537, 1.305329, ACC
0.900000, 0.749243, 1.508069, 2.294315, ACC
1.000000, 0.911522, 1.737501, 1.609283, ACC
1.100000, 1.093319, 1.898429, 2.409451, ACC
1.200000, 1.295209, 2.139374, -0.872199, CON
1.300000, 1.504785, 2.052154, -0.782001, CON
1.400000, 1.706091, 1.973954, 0.929245, ACC
1.500000, 1.908132, 2.066879, -1.991408, CON
1.600000, 2.104863, 1.867738, 2.514276, ACC
1.700000, 2.304208, 2.119166, 0.530975, CON
1.800000, 2.518780, 2.172263, 1.642559, CON
1.900000, 2.744219, 2.336519, 0.278755, CON
2.000000, 2.979264, 2.364395, -0.524398, CON
2.100000, 3.213082, 2.311955, 1.454808, CON
2.200000, 3.451551, 2.457436, 1.011892, CON
2.300000, 3.702355, 2.558625, 1.269938, CON
2.400000, 3.964567, 2.685619, -0.952084, CON
2.500000, 4.228368, 2.590410, -1.072305, CON
2.600000, 4.482048, 2.483180, -0.069981, CON
2.700000, 4.730016, 2.476182, 0.368580, CON
2.800000, 4.979477, 2.513040, 0.445739, CON
2.900000, 5.233009, 2.557614, 1.293603, CON
3.000000, 5.495239, 2.686974, -1.459567, CON
3.100000, 5.756638, 2.541017, -1.560631, CON
3.200000, 6.002937, 2.384954, 1.797395, CON
3.300000, 6.250419, 2.564694, 0.533799, CON
3.400000, 6.509558, 2.618073, -1.645710, CON
3.500000, 6.763136, 2.453502, 0.467157, CON
3.600000, 7.010823, 2.500218, 0.400119, CON
3.700000, 7.262845, 2.540230, -0.439143, CON
3.800000, 7.514672, 2.496316, 0.533665, CON
3.900000, 7.766972, 2.549682, -1.110628, CON
4.000000, 8.016387, 2.438620, -0.187997, CON
4.100000, 8.259309, 2.419820, -0.663405, CON
4.200000, 8.497974, 2.353479, -1.504522, CON
4.300000, 8.725799, 2.203027, -0.035765, CON
4.400000, 8.945923, 2.199451, 0.788709, CON
4.500000, 9.169812, 2.278322, -0.295399, CON
4.600000, 9.396167, 2.248782, 0.334480, CON
4.700000, 9.622718, 2.282230, -0.042211, CON
4.800000, 9.850730, 2.278008, -1.097460, CON
4.900000, 10.073043, 2.168262, 0.235755, CON
5.000000, 10.291048, 2.191838, -0.849840, CON
5.100000, 10.505983, 2.106854, -0.000336, CON
5.200000, 10.716666, 2.106820, -0.427056, CON
5.300000, 10.925213, 2.064115, -1.114055, CON
5.400000, 11.126054, 1.952709, 0.998489, ACC
5.500000, 11.326318, 2.052558, -0.660574, CON
5.600000, 11.528271, 1.986501, 0.829367, ACC
5.700000, 11.731068, 2.069437, 0.783373, CON
5.800000, 11.941928, 2.147775, 0.882527, CON
5.900000, 12.161118, 2.236027, 2.875124, CON
6.000000, 12.399097, 2.523540, -1.052787, CON
6.100000, 12.646187, 2.418261, -1.776414, CON
6.200000, 12.879131, 2.240620, 0.134814, CON
6.300000, 13.103867, 2.254101, 0.816537, CON
6.400000, 13.333360, 2.335755, 1.261427, CON
6.500000, 13.573242, 2.461898, -0.409601, CON
6.600000, 13.817384, 2.420938, -0.521476, CON
6.700000, 14.056870, 2.368790, 0.889166, CON
6.800000, 14.298195, 2.457707, 0.243842, CON
6.900000, 14.545185, 2.482091, -0.560563, CON
7.000000, 14.790591, 2.426034, -0.498819, CON
7.100000, 15.030701, 2.376153, -0.439126, CON
7.200000, 15.266120, 2.332240, 0.318554, CON
7.300000, 15.500937, 2.364095, -0.259190, CON
7.400000, 15.736051, 2.338176, -0.206262, CON
7.500000, 15.968837, 2.317550, -0.333685, CON
7.600000, 16.198924, 2.284182, 1.104206, CON
7.700000, 16.432863, 2.394602, 0.051220, CON
7.800000, 16.672579, 2.399724, 0.170378, CON
7.900000, 16.913403, 2.416762, 0.033850, CON
8.000000, 17.155249, 2.420147, 0.542036, CON
8.100000, 17.399974, 2.474351, 0.938516, CON
8.200000, 17.652101, 2.568202, -1.324663, CON
8.300000, 17.902298, 2.435736, 1.640671, CON
8.400000, 18.154075, 2.599803, -0.718354, CON
8.500000, 18.410464, 2.527968, -2.582203, CON
8.600000, 18.650350, 2.269747, -0.587905, CON
8.700000, 18.874385, 2.210957, 0.898509, CON
8.800000, 19.099973, 2.300808, -2.586967, CON
8.900000, 19.317119, 2.042111, -0.938867, CON
9.000000, 19.516636, 1.948224, 3.569699, ACC
9.100000, 19.729307, 2.305194, -0.470954, CON
9.200000, 19.957471, 2.258099, 1.900914, CON
9.300000, 20.192786, 2.448190, 0.706576, CON
9.400000, 20.441138, 2.518848, -1.299029, CON
9.500000, 20.686527, 2.388945, 0.898999, CON
9.600000, 20.929917, 2.478845, -0.694608, CON
9.700000, 21.174328, 2.409384, -0.804582, CON
9.800000, 21.411244, 2.328926, -0.191851, CON
9.900000, 21.643177, 2.309741, 1.704297, CON
10.000000, 21.882673, 2.480170, -0.136293, CON
10.100000, 22.130008, 2.466541, 0.231246, CON
10.200000, 22.377819, 2.489666, -0.279408, CON
10.300000, 22.625388, 2.461725, 1.970475, CON
10.400000, 22.881413, 2.658773, 1.264836, CON
10.500000, 23.153614, 2.785256, 0.024122, CON
10.600000, 23.432261, 2.787668, 1.379835, CON
10.700000, 23.717927, 2.925652, -0.527791, CON
10.800000, 24.007853, 2.872873, 2.118170, CON
10.900000, 24.305731, 3.084690, -0.707319, CON
11.000000, 24.610663, 3.013958, -0.876052, CON
11.100000, 24.907679, 2.926353, 0.930405, CON
11.200000, 25.204966, 3.019393, 0.519605, CON
11.300000, 25.509504, 3.071354, -0.577190, CON
11.400000, 25.813753, 3.013635, 1.114847, CON
11.500000, 26.120691, 3.125119, -0.416564, CON
11.600000, 26.431120, 3.083463, 0.508175, CON
11.700000, 26.742007, 3.134280, -0.381591, CON
11.800000, 27.053527, 3.096121, -0.501854, CON
11.900000, 27.360630, 3.045936, 1.520622, CON
12.000000, 27.672827, 3.197998, -3.711606, DEC
12.100000, 27.974068, 2.826838, -1.194809, CON
12.200000, 28.250778, 2.707357, -1.465869, DEC
12.300000, 28.514184, 2.560770, -2.488727, DEC
12.400000, 28.757818, 2.311897, -2.082495, DEC
12.500000, 28.978595, 2.103647, -1.537893, DEC
12.600000, 29.181270, 1.949858, -2.604218, DEC
12.700000, 29.363235, 1.689436, -0.398970, DEC
12.800000, 29.530184, 1.649539, -1.884763, DEC
12.900000, 29.685714, 1.461063, -1.975564, DEC
13.000000, 29.821942, 1.263507, -3.116268, DEC
13.100000, 29.932712, 0.951880, -1.245693, DEC
13.200000, 30.021671, 0.827311, -2.853273, DEC
13.300000, 30.090136, 0.541983, -1.564348, DEC
13.400000, 30.136512, 0.385548, -2.711469, DEC
13.500000, 30.161510, 0.114401, -1.835138, DEC
13.600000, 30.167230, 0.000000, -1.345608, DEC
