time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 7.503594, ACC
0.100000, 0.037518, 0.750359, 7.219530, ACC
0.200000, 0.148652, 1.472312, 7.352981, ACC
0.300000, 0.332648, 2.207611, 8.144996, ACC
0.400000, 0.594134, 3.022110, 7.969227, ACC
0.500000, 0.936191, 3.819033, 8.063505, ACC
0.600000, 1.358412, 4.625383, 6.648639, ACC
0.700000, 1.854193, 5.290247, 7.689812, ACC
0.800000, 2.421667, 6.059228, 8.763023, ACC
0.900000, 3.071405, 6.935531, 9.144925, ACC
1.000000, 3.810683, 7.850023, 7.078110, ACC
1.100000, 4.631076, 8.557834, 8.509905, ACC
1.200000, 5.529408, 9.408825, 8.523952, ACC
1.300000, 6.512911, 10.261220, 6.997865, ACC
1.400000, 7.574022, 10.961006, 5.153153, ACC
1.500000, 8.695888, 11.476322, 9.506667, ACC
1.600000, 9.891054, 12.426988, 7.880791, ACC
1.700000, 11.173157, 13.215067, 7.117305, ACC
1.800000, 12.530250, 13.926798, 8.820385, ACC
1.900000, 13.967032, 14.808836, -2.673764, DEC
2.000000, 15.434546, 14.541460, -2.850510, DEC
2.100000, 16.874440, 14.256409, -3.955920, DEC
2.200000, 18.280301, 13.860817, -2.878129, DEC
2.300000, 19.651992, 13.573004, -2.006669, DEC
2.400000, 20.999259, 13.372337, -2.265120, DEC
2.500000, 22.325167, 13.145825, -3.021800, DEC
2.600000, 23.624641, 12.843645, -1.402724, DEC
2.700000, 24.901992, 12.703373, -2.691647, DEC
2.800000, 26.158871, 12.434208, -3.411764, DEC
2.900000, 27.385233, 12.093032, -4.127922, DEC
3.000000, 28.573897, 11.680239, -3.296876, DEC
3.100000, 29.725436, 11.350552, -2.535674, DEC
3.200000, 30.847813, 11.096984, -2.501393, DEC
3.300000, 31.945004, 10.846845, -2.187903, DEC
3.400000, 33.018749, 10.628055, -3.892868, DEC
3.500000, 34.062091, 10.238768, -2.942511, DEC
3.600000, 35.071255, 9.944517, -3.695551, DEC
3.700000, 36.047229, 9.574962, -1.978688, DEC
3.800000, 36.994831, 9.377093, -2.283885, DEC
3.900000, 37.921121, 9.148705, -1.735608, DEC
4.000000, 38.827314, 8.975144, -3.154305, DEC
4.100000, 39.709057, 8.659713, -4.190906, DEC
4.200000, 40.554073, 8.240623, -3.311196, DEC
4.300000, 41.361580, 7.909503, -4.155138, DEC
4.400000, 42.131754, 7.493989, -4.189646, DEC
4.500000, 42.860205, 7.075025, -4.359154, DEC
4.600000, 43.545912, 6.639109, -1.894677, DEC
4.700000, 44.200349, 6.449641, -4.390488, DEC
4.800000, 44.823361, 6.010593, -4.676342, DEC
4.900000, 45.401038, 5.542958, -3.060185, DEC
5.000000, 45.940033, 5.236940, -3.845177, DEC
5.100000, 46.444501, 4.852422, -3.807186, DEC
5.200000, 46.910708, 4.471704, -1.841224, DEC
5.300000, 47.348672, 4.287581, -2.837779, DEC
5.400000, 47.763241, 4.003803, -2.097084, DEC
5.500000, 48.153136, 3.794095, -2.870603, DEC
5.600000, 48.518193, 3.507035, -1.623895, DEC
5.700000, 48.860777, 3.344645, -3.700376, DEC
5.800000, 49.176739, 2.974607, -2.332293, DEC
5.900000, 49.462539, 2.741378, -1.744790, DEC
6.000000, 49.727952, 2.566899, -3.181066, DEC
6.100000, 49.968737, 2.248793, -2.626330, DEC
6.200000, 50.180485, 1.986159, -2.415023, DEC
6.300000, 50.367025, 1.744657, -3.684607, DEC
6.400000, 50.523068, 1.376196, -3.092933, DEC
6.500000, 50.645223, 1.066903, -3.348911, DEC
6.600000, 50.735169, 0.732012, -2.600026, DEC
6.700000, 50.795370, 0.472009, -4.265975, DEC
6.800000, 50.821241, 0.045412, -1.507132, DEC
6.900000, 50.823512, 0.000000, -2.733325, DEC
