time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 3.534448, ACC
0.100000, 0.017672, 0.353445, 2.551602, ACC
0.200000, 0.065775, 0.608605, 2.284979, ACC
0.300000, 0.138060, 0.837103, 2.122588, ACC
0.400000, 0.232383, 1.049362, 3.397684, ACC
0.500000, 0.354308, 1.389130, 4.087501, ACC
0.600000, 0.513658, 1.797880, 4.736227, ACC
0.700000, 0.717128, 2.271503, 2.674180, ACC
0.800000, 0.957649, 2.538921, 2.114699, ACC
0.900000, 1.222114, 2.750391, 2.805990, ACC
1.000000, 1.511183, 3.030990, -1.544335, CON
1.100000, 1.806561, 2.876556, 2.614833, ACC
1.200000, 2.107290, 3.138040, 0.725310, CON
1.300000, 2.424721, 3.210571, 2.142163, CON
1.400000, 2.756489, 3.424787, -2.075472, CON
1.500000, 3.088590, 3.217240, -0.381181, CON
1.600000, 3.408408, 3.179122, -0.450935, CON
1.700000, 3.724066, 3.134028, 0.720477, CON
1.800000, 4.041071, 3.206076, 0.719389, CON
1.900000, 4.365275, 3.278015, 0.394935, CON
2.000000, 4.695052, 3.317508, 0.129556, CON
2.100000, 5.027450, 3.330464, -1.332056, CON
2.200000, 5.353836, 3.197258, -0.918377, CON
2.300000, 5.668970, 3.105420, 0.781729, CON
2.400000, 5.983421, 3.183593, 0.667400, CON
2.500000, 6.305117, 3.250333, -0.543060, CON
2.600000, 6.627435, 3.196027, -2.215566, CON
2.700000, 6.935960, 2.974471, 2.811917, ACC
2.800000, 7.247467, 3.255663, -0.503992, CON
2.900000, 7.570513, 3.205263, -0.890039, CON
3.000000, 7.886589, 3.116259, 1.187995, CON
3.100000, 8.204155, 3.235059, 0.330841, CON
3.200000, 8.529315, 3.268143, 0.390986, CON
3.300000, 8.858084, 3.307242, -1.374393, CON
3.400000, 9.181937, 3.169802, -0.473130, CON
3.500000, 9.496551, 3.122489, -0.847914, CON
3.600000, 9.804561, 3.037698, -0.355441, CON
3.700000, 10.106553, 3.002154, -0.100428, CON
3.800000, 10.406266, 2.992111, 2.171779, ACC
3.900000, 10.716336, 3.209289, 0.474125, CON
4.000000, 11.039636, 3.256701, 1.809000, CON
4.100000, 11.374351, 3.437601, 0.626594, CON
4.200000, 11.721244, 3.500261, -1.229655, CON
4.300000, 12.065122, 3.377295, -0.149649, CON
4.400000, 12.402103, 3.362330, 1.951041, CON
4.500000, 12.748092, 3.557435, 1.637367, CON
4.600000, 13.112022, 3.721171, 0.083722, CON
4.700000, 13.484558, 3.729543, 1.766809, CON
4.800000, 13.866346, 3.906224, 2.520708, CON
4.900000, 14.269572, 4.158295, -0.746459, CON
5.000000, 14.681669, 4.083649, -0.878568, CON
5.100000, 15.085641, 3.995792, 1.280425, CON
5.200000, 15.491623, 4.123835, -1.155758, CON
5.300000, 15.898227, 4.008259, -0.311168, CON
5.400000, 16.297497, 3.977142, -1.038175, DEC
5.500000, 16.690021, 3.873325, -2.480466, DEC
5.600000, 17.064951, 3.625278, -2.677882, DEC
5.700000, 17.414089, 3.357490, -2.090103, DEC
5.800000, 17.739388, 3.148480, -3.176525, DEC
5.900000, 18.038353, 2.830827, -1.416875, DEC
6.000000, 18.314351, 2.689140, -3.011934, DEC
6.100000, 18.568206, 2.387946, 4.437090, ACC
6.200000, 18.829186, 2.831655, -1.814411, DEC
6.300000, 19.103279, 2.650214, -2.222941, DEC
6.400000, 19.357186, 2.427920, -0.294634, DEC
6.500000, 19.598505, 2.398457, -1.703024, DEC
6.600000, 19.829835, 2.228154, -0.202134, DEC
6.700000, 20.051640, 2.207941, -1.568115, DEC
6.800000, 20.264594, 2.051129, -1.032093, DEC
6.900000, 20.464546, 1.947920, -0.958309, DEC
7.000000, 20.654547, 1.852089, -3.177337, DEC
7.100000, 20.823869, 1.534356, -2.439391, DEC
7.200000, 20.965107, 1.290416, -0.911636, DEC
7.300000, 21.089591, 1.199253, -3.064582, DEC
7.400000, 21.194193, 0.892795, -3.331223, DEC
7.500000, 21.266817, 0.559672, -2.040423, DEC
7.600000, 21.312582, 0.355630, -1.836190, DEC
7.700000, 21.338964, 0.172011, -3.573602, DEC
7.800000, 21.347564, 0.000000, -0.731789, DEC
